toss_winner_is_team1,toss_decision,venue,team1_win_rate,team2_win_rate,win_rate_diff,recent_form_diff,h2h_diff,experience_diff
0,0,20,0.6086956521739131,0.48148148148148145,0.12721417069243163,0,0.3,65
0,0,51,0.5555555555555556,0.39285714285714285,0.16269841269841273,3,-0.1,6
0,0,38,0.5,0.5116279069767442,-0.011627906976744207,1,-0.4,-2
0,0,22,0.4659090909090909,0.6021505376344086,-0.13624144672531774,0,-0.1,-5
1,0,14,0.4588235294117647,0.5,-0.041176470588235314,3,0.1,57
1,0,38,0.5058823529411764,0.38823529411764707,0.11764705882352938,3,0.3,0
1,0,51,0.5604395604395604,0.5057471264367817,0.05469243400277879,2,0.3,4
1,0,14,0.5116279069767442,0.46511627906976744,0.04651162790697677,-1,-0.1,0
1,0,5,0.6063829787234043,0.5652173913043478,0.041165587419056515,-2,-0.1,2
1,0,51,0.6105263157894737,0.5057471264367817,0.10477918935269204,-1,0.2,8
1,0,22,0.47126436781609193,0.5113636363636364,-0.04009926854754442,2,0.2,-1
1,0,14,0.4772727272727273,0.5591397849462365,-0.08186705767350921,1,-0.6,-5
0,0,26,0.6041666666666666,0.38372093023255816,0.22044573643410847,2,0.6,10
1,0,29,0.5056179775280899,0.5,0.005617977528089901,2,-0.3,1
1,1,26,0.6082474226804123,0.4827586206896552,0.12548880199075713,1,0.2,68
0,0,14,0.48314606741573035,0.4606741573033708,0.02247191011235955,3,0.2,0
0,0,16,0.3793103448275862,0.5056179775280899,-0.1263076327005037,-2,-0.2,-2
1,0,51,0.5531914893617021,0.5,0.05319148936170215,1,0.0,4
0,0,22,0.4666666666666667,0.4666666666666667,0.0,0,0.0,60
0,1,42,0.5111111111111111,0.5473684210526316,-0.036257309941520544,0,-0.4,-5
1,1,29,0.5054945054945055,0.375,0.13049450549450547,2,0.4,3
0,0,11,0.4838709677419355,0.5164835164835165,-0.03261254874158104,0,-0.1,-60
1,1,51,0.5416666666666666,0.6122448979591837,-0.07057823129251706,-3,0.0,-2
0,1,11,0.46875,0.38202247191011235,0.08672752808988765,1,0.4,-57
0,0,29,0.5,0.4777777777777778,0.0222222222222222,-2,-0.3,2
0,1,42,0.5217391304347826,0.6161616161616161,-0.09442248572683354,0,-0.5,-7
1,0,22,0.46153846153846156,0.5360824742268041,-0.07454401268834254,1,-0.1,-6
0,0,16,0.3888888888888889,0.4835164835164835,-0.09462759462759462,-2,-0.1,-1
0,0,42,0.5268817204301075,0.4946236559139785,0.032258064516129004,4,0.4,0
0,0,11,0.45454545454545453,0.4891304347826087,-0.03458498023715417,-3,-0.2,-59
1,0,22,0.45652173913043476,0.61,-0.15347826086956523,-2,-0.2,-8
0,0,16,0.38461538461538464,0.5408163265306123,-0.15620094191522765,1,0.0,-7
0,0,42,0.5212765957446809,0.45161290322580644,0.06966369251887444,3,0.1,1
1,1,51,0.5353535353535354,0.47058823529411764,0.06476530005941772,-1,0.0,65
1,1,26,0.6138613861386139,0.5,0.11386138613861385,2,0.1,7
0,0,16,0.391304347826087,0.4574468085106383,-0.06614246068455132,1,-0.3,-2
1,0,38,0.49473684210526314,0.45714285714285713,0.03759398496240601,0,0.0,60
0,0,26,0.6176470588235294,0.4838709677419355,0.13377609108159394,1,0.4,9
1,0,14,0.4787234042553192,0.6213592233009708,-0.14263581904565165,-2,-0.5,-9
1,0,16,0.3870967741935484,0.4895833333333333,-0.10248655913978494,2,-0.3,-3
0,0,51,0.54,0.5157894736842106,0.02421052631578946,-1,0.3,5
1,0,22,0.4631578947368421,0.4842105263157895,-0.02105263157894738,-1,-0.1,0
0,0,40,0.4722222222222222,0.6153846153846154,-0.1431623931623932,-1,-0.3,-68
0,1,38,0.4845360824742268,0.5445544554455446,-0.06001837297131779,-2,0.1,-4
0,0,5,0.5104166666666666,0.39361702127659576,0.11679964539007087,-1,0.3,2
1,1,26,0.6095238095238096,0.46875,0.14077380952380958,0,0.3,9
0,0,14,0.4791666666666667,0.4864864864864865,-0.007319819819819828,-1,0.1,59
0,1,51,0.5490196078431373,0.3894736842105263,0.159545923632611,2,-0.1,7
0,0,22,0.4639175257731959,0.47959183673469385,-0.01567431096149796,2,-0.4,-1
1,1,14,0.4845360824742268,0.3854166666666667,0.09911941580756012,0,0.2,1
1,0,5,0.5154639175257731,0.47368421052631576,0.04177970699945738,-1,0.2,59
1,1,26,0.6132075471698113,0.5533980582524272,0.059809488917384135,-1,0.1,3
0,1,14,0.4897959183673469,0.47474747474747475,0.015048443619872176,3,0.4,-1
0,1,45,0.38144329896907214,0.48717948717948717,-0.10573618821041503,-2,-0.3,58
0,1,51,0.5576923076923077,0.46938775510204084,0.08830455259026687,1,0.2,6
1,1,26,0.6074766355140186,0.5102040816326531,0.09727255388136558,1,0.4,9
1,1,40,0.5,0.47,0.030000000000000027,4,0.1,-60
0,1,45,0.37755102040816324,0.6111111111111112,-0.23356009070294792,-1,-0.7,-10
0,0,38,0.46534653465346537,0.47474747474747475,-0.00940094009400938,-4,0.3,2
0,0,51,0.5523809523809524,0.494949494949495,0.057431457431457444,0,0.5,6
1,1,40,0.5121951219512195,0.47,0.04219512195121955,1,0.1,-59
1,1,38,0.47058823529411764,0.6055045871559633,-0.1349163518618457,-1,-0.2,-7
1,1,5,0.5050505050505051,0.49,0.015050505050505092,-2,0.2,-1
1,1,40,0.5,0.5566037735849056,-0.05660377358490565,-1,-0.1,-64
0,1,51,0.6090909090909091,0.5607476635514018,0.04834324553950731,-1,0.0,3
1,1,29,0.4752475247524752,0.51,-0.03475247524752478,1,0.0,1
1,0,20,0.6036036036036037,0.4803921568627451,0.12321144674085854,-2,0.4,9
0,0,14,0.5648148148148148,0.6071428571428571,-0.042328042328042326,1,0.1,-4
1,0,14,0.48514851485148514,0.3838383838383838,0.10131013101310132,2,0.3,2
0,0,22,0.47572815533980584,0.4883720930232558,-0.012643937683449957,0,0.0,60
0,0,14,0.49019607843137253,0.5688073394495413,-0.07861126101816879,-1,-0.6,-7
1,0,16,0.38,0.46601941747572817,-0.08601941747572817,0,-0.2,-3
1,1,40,0.4772727272727273,0.4854368932038835,-0.008164165931156209,0,-0.2,-59
0,0,22,0.4807692307692308,0.38613861386138615,0.09463061690784463,1,0.4,3
1,0,40,0.4666666666666667,0.5727272727272728,-0.10606060606060608,-4,-0.2,-65
0,0,36,0.46153846153846156,0.49038461538461536,-0.0288461538461538,-1,-0.5,0
1,0,51,0.5675675675675675,0.47619047619047616,0.09137709137709138,1,0.1,6
